id,text
1559191509,"In the Hitimahana district of Mahina, promiscuity can make confinement difficult. Homes are grouped and open. 150 to 200 people live together, daily, and have difficulty staying inside their homes. If they know the danger of the coronavirus and do not mask their concern, this scourge still seems far away..."
1558835128,"Donald Trump is not just president of the world's first economy, threatened with collapse due to the pandemic of new coronavirus."
1523294079,"Deferred because one candidate declared a gastroenteritis, the Top Chef final could still take place a few days later because a jury member could not return home."
1536764011,"DECRYPTAGE - It is now at the direct call of Ankara that migrants are heading towards the Turkish-Greek border. A cleverly orchestrated media operation, explains our journalist Delphine Minoui."
1546348677,"Contrary to what he said to Guineanews, the president of the National Independent Electoral Commission (CENI) had brought the case before the Constitutional Court with a view to obtaining the right..."
1536337900,"On Monday, National Education presented the arrangements for ensuring ""pedagogical continuity"" in closed schools."
1559134919,"The President of France, Emmanuel Macron, announced on Wednesday the launch of a military operation: as the epidemic of coronavirus peaks."
1559042671,"In the midst of an epidemic of Coronavirus, which is raging around the world and killing thousands of victims, Emmanuel Macron announced on Wednesday 25 March in Mulhouse that he was launching Operation ""Resilience"". But what does this term mean? Initially, the word ""resilence"" is physical. It refers to the ability of a body to resist a shock."
1558524773,"As confinement attacks its second week, Iseroese structures and associations sound alarmed at the risk of increased domestic violence during this period."
1737607019,"For the English version, / For The English Version, In Canada, women are significantly more concerned than men about the VOCID-19 crisis. For example, a recent poll conducted by (link in English) found that 49 percent of women reported feeling very worried about this epidemic, compared to 33 percent in the last year."
1559154848,Summary of measures taken on Tuesday and Wednesday in some of the main cities in the region.
1558781189,"In the space of a few days, two pillars of the continent's music, Manu Dibango and Aurlus Mabélé, died from the (...)."
1558709933,"Morocco: The National Federation of Minotery donates 5,000 tons of flour and meal. As part of the momentum of national solidarity and the mobilization of all the living forces of our country in the fight against Coronavirus (COVID-19), the National Union of Millotry"
1518238717,"Researchers and anonymous simples called for the unconditional and immediate release of their two French colleagues detained in Iran during a silent gathering on Tuesday in Paris, rhythmic by a tribute filled with emotion of the choreographer..."
1766871114,"A PLANET UNDER VOCID (5). As the pandemic spreads on the planet, country after country, families around the world testify to their daily lives, more or less affected by the coronavirus. Today, the West Bank, Greece, India and Brazil."
1558534688,The biggest change: it will now be necessary to specify the time of the exit. Decree No. 2020–293 of 23 March 2020 prescribing the general measures needed to deal with the situation.
1542105945,CONAKRY - This is a first in Guinea! The information was given by the Directorate of
1559129118,"VIEWED IN THE PRESS - On the night of Tuesday 24 to Wednesday 25 March, a dozen vehicles burned in the Croix-Rousse district of Lyon."
1558633798,"The Ministry of Health failed to warn that cannabis in this case was a clear contraindication, due to its immune depressant effects."
