id,text
1484207422,We are ready to face 2020 challenges: Monreal
1531827762,"The cases of greatest concern are those in Italy, Iran and South Korea."
1597825999,"Minute30.com- Fanchas de Nacional y Medellín, the two football teams with the greatest tradition in the capital of Antioquia, joined together to distribute markets in a"
1494211896,"MOSCOW (Sputnik) — The Taal volcano, which erupted several dozen kilometers from Manila, continues to spit lava and ashes, reported the Philippine Institute of Vulcanology and Seismology."
1483946190,The boxer's out of danger.
1483953715,"Since December 5th, the public transprote of the Gaul country has met as a strike. The reform has as main axis the suppression of 42 different retirement regimes existing today to merge them into a universal one."
1542420682,Let's defend science.
1563089475,It also reminded her followers to stay in their homes and that she is also human and suffering. For more Telemundo programming she enters...
1627485719,"The number of minors with a positive diagnosis by coronavirus reached 2,228 in addition to 46 deaths"
1503619454,"The one who was Secretary of State for Security in the Ministry of the Interior of Jorge Fernández Díaz, Francisco Martínez, welcomed this Friday his right not to testify before the judge and the Anti-Corruption Prosecutor's Office, who had summoned him as an investigator for his alleged participation in..."
1489137689,This book is the result of the collective effort of twenty-one researchers and researchers from the Centro Núcleo Milenio Autoridad y Asimmetrías de Poder (NUMAAP). It has been carried out with the aim of contributing to the understanding of events that have been taking place in Chilean society since October 2019. These...
1534646947,"As part of her work framed in the demands of March 8, the feminist platform has decided to bring her proposal closer to the island institution"
1484069700,Bolsonaro decrees increase to the minimum wage
1484112881,The UK will leave the EU on January 31st and both sides will begin negotiating their future relationship Trump faces his backsliding election as a firm Republican candidate in front of the Democratic divide
1553188504,"These are the districts of Chaco, Santa Fe, Santiago del Estero, Jujuy, Mendoza, Salta, Misiones and Tierra del Fuego."
1586009423,"The president of the government, Pedro Sánchez, proposed this morning to the leader of Pablo Casado, the main opposition party, to extend a pact for the social and economic reconstruction of Spain to all the autonomous communities and municipalities."
1484384068,Elements of the Firemen came to provide support
1484230658,"He called not to lose hope, in the face of adversities"
1491342609,"The Secretary of Health of the State, Roberto Bernal Gómez, confirmed that for this year the program of surgeries will be strengthened - 10/01/2020"
1536644461,"In the final between America and Junior, held in Cali, he advanced with the Police and the Registry the biometric identification pilot."
1484547936,"TRIBUNA brings the social events that marked Ciudad Obregón this year, where friends, colleagues, families, entrepreneurs, organizations and many cajemenes let us get into their lives to share important events"
1588085743,"""We thought the coronavirus was a great match because celebrities were getting infected, heads of state, athletes, royalty."
1484290939,The Korean group surprised all their fans with a live concert broadcast from Times Square in New York. More than a million people attended the event.
1630680700,"So far neither the President nor the White House has provided information on the duration of such suspension, nor on when such an executive order would be signed."
1510678877,The investment of the Canadian millionaire takes Aston Martin away from his historical minima. Rises have come to touch 30% on the Stock Exchange...
1483885020,A 33-year-old man was arrested after he shot his mother in 62 during a year-end domestic dispute.
1618524679,"The UNNE Superior Council, in a virtual session, decided to keep the winter academic-administrative recess from Monday 13th to Sunday 26th of July. On Wednesday, the Higher Council of the Universidad Nacional del Nordeste held its second regular meeting under the virtual modality, within the emergency...Read more »"
1484165117,"Berlin. A fire in a zoo in western Germany in the first minutes of 2020 killed more than 30 animals, including apes,"
1601429772,"According to the autopsy, the 19-year-old victim had a violent death caused by asphyxiation."
1484108870,"In 2018, inflation in Peru was 2.19%."
1616302273,"The resignation of Germán Barrios, former president of the Economic and Social Council (ESC), has taken the trade unions and employers by surprise, in the midst of managing the crisis caused by the coronavirus pandemic."
1518217634,"Through her Twitter account, the capital's president condemned femicide - 02/11/2020"
1484153183,Members of the National Police dispersed with shotguns and tear gas fire on the morning of this Wednesday to a burning crowd they intended
1484245306,Continue to fight corruption and nepotism in the judiciary in 2020
1532260699,The Buenos Aires cases arrived in Argentina from Italy and there is a third that did so from Taiwan.
1484205529,"Havana, – Numerous governments sent greeting messages to President Miguel Díaz-Canel, the first secretary of the Communist Party of Cuba, Raúl Castro, and the Cuban people, for the 61st anniversary of this revolution. Among the missives is that of Russia’s president, Vladimir Putin, who described bilateral relations as very dynamic and expressed ... Continue reading World Governments congratulate Cuba for year 61 of Revolution →"
1484124130,"Three girls were born in Mérida, Yucatán in the early hours of 2020, authorities said."
1547470363,The parks will be closed for at least the rest of March.
1484202331,The businessman pondered the first initiatives of the new government and highlighted the intentions of Minister Martín Guzmán to seek an agreement with the creditors.
1484112716,The fun moment was shared on their social networks.
1484206932,Hundreds of families from different departments of Nicaragua received the new year at the El Trapiche tourist center.
1532860666,"During the afternoon of yesterday, dozens of Bolañegos dressed in costumes of all kinds, paid their particular homage to the sardine in a date that marks the equator of the Carnivals."
1604686775,"Of the nine inquiries, the first investigation was opened and the mayor of Tierralta, Daniel Montero, was temporarily suspended."
1514265206,"There are no absolute data on how many women and girls have been maimed around the world, but the UN estimates that there are more than 200 million in the 30 countries of Africa, the Middle East and Asia."
1490440716,"Pedro Sánchez has carried out the inauguration as president of the government with 167 votes in favor, 165 against and 18 abstentions. So we have told you the debate in Congress (you can also follow the latest news about the new government of Pedro Sanchez live):"
1484124715,Commemorates Haiti’s 216 Years of Independence
1577559070,"The president of the Republic, Nicolás Maduro, reported on Monday, April 13, that several workers of a security company that provides services to a recognized food company have given positive to the COVID-19. In that sense, the national president urged the owners of this company not to hide the names ..."
1497706094,"U.S. President Donald Trump has accused the Democratic Party of 'wiring' the White House primaries to put out of the race candidate Bernie Sanders, considered practically a radical regarding other possible nominees such as former Vice President Joe Biden or Senator Elizabeth"
1534823144,"(CNN Español) — The Minister of Health of Ecuador, Catalina Andramuño, confirmed on Saturday the first case of coronavirus in the country in coastal Guayaquil. The patient, a 70-year-old woman, is in intensive care and with a reserved prognosis in a hospital intended to care for cases of crown virus, where she continues to be under"
1563564991,"Like Governor Jorge Capitanich, the Chaco Ministry of Public Health used social media to inform that “from the Immunology Laboratory of Julio C. Hospital ..."
1522138511,"Vanessa Guzmán's son, the beautiful actress of Televisa, took the praises of her mother’s followers, when she placed a photo of him on social media."
1574799849,"The Ministry of Culture (Mincult) has announced that, as part of the measures taken to address COVID-19,"
1520044896,"The Municipality through the Undersecretary of Industrial Development continues with the work of maintenance and integral cleaning in the Industrial Park. The tasks include cleaning, cleaning up both inside and in [...]"
1564713372,Is it a good idea or not to travel during the current global alert for coronavirus? We present WHO data on this virus that is already in Latin America.
1484377414,Civil Protection confirmed snowfall in 7 municipalities The fifth winter storm brought together ...
1484117392,"- With a pleasant temperature of 21.1 degrees it dawned today in Mérida, the Yucatecan capital, at 6 hours with 35 minutes."
1550117971,It is noteworthy that the Swiss was received by medical personnel dressed in a special suit
1544021771,"The traditional dinner before the beginning of the 14th exhibition, edition YPF Agro, was the initial kick for the opening of National Capital of Agribusiness that will take place from March 10th to 13th."
1495890837,"The Minister of Education took an oath to the undersecretaries, Sergio De Cicco and Pablo Abraham. De Cicco pointed out that ""we analyzed these days how to settle the debt before the beginning of the cycle, on February 26th."" Meanwhile, Abraham anticipated that they will seek to incorporate ""different management systems to modernize and administratively order each sector."""
1497784048,"The General Directorate of Consumer Defense, under the Ministry of Government, Justice and Human Rights of the province of La Pampa, provided recommendations to tourists who decide to..."
1484104499,"It will take place on Sunday, January 5, and children’s toys will be collected from the ‘Three Kings’ colony."
1523402197,"Spanish Situation Report on Chile about Protection and Human Rights, Aged Persons, Children and more; published on 17 Feb 2020 by UNHCR"
1483910254,"Built in 2018 in Cannes, France. Images by Aldo Amoretti. The port of Cannes was a beach until 1838, when the urbanization began. Located between Suquet Hill and the Palais des Festivals, the port has been..."
1498671960,"news about León, Castile and Leon, Bierzo, last minute, sports, leisure, politics, economy"
1484020774,"On January 1, 1995, the World Trade Organization (WTO) was founded. Currently, its 164 member countries control 98% of world trade turnover. On the eve of its 25th anniversary, the WTO faced the most serious crisis in its history. Analysts, consulted by Sputnik, comment on how it has emerged and how to overcome it."
1500215267,"Santo Domingo, RD.- The Central Electoral Board (JCE), welcomed the ruling of the Superior Administrative Court (TSA), which annuls resolution 34-19 and decides to place the Dominican Revolutionary Party (PRD) in box 3 of electoral ballot. Hilario Espiñeira, secretary general of JCE, reported that by resolution 13-2020 the decision was taken in response to the ..."
1523421719,Granada has started selling tickets for non-subscribers for the return match of the King's Cup semifinals against Athletic.
